tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
f__Bifidobacteriaceae,o__Bifidobacteriales,rank_4,f__Bifidobacteriaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,,
g__Bifidobacterium,f__Bifidobacteriaceae,rank_5,g__Bifidobacterium,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,
o__Candidatus_Actinomarinales,c__Actinobacteria,rank_3,o__Candidatus_Actinomarinales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Candidatus_Actinomarinales,,,
f__Candidatus_Actinomarinaceae,o__Candidatus_Actinomarinales,rank_4,f__Candidatus_Actinomarinaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Candidatus_Actinomarinales,f__Candidatus_Actinomarinaceae,,
g__Candidatus_Actinomarina,f__Candidatus_Actinomarinaceae,rank_5,g__Candidatus_Actinomarina,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Candidatus_Actinomarinales,f__Candidatus_Actinomarinaceae,g__Candidatus_Actinomarina,
s__Candidatus_Actinomarina_minuta,g__Candidatus_Actinomarina,rank_6,s__Candidatus_Actinomarina_minuta,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Candidatus_Actinomarinales,f__Candidatus_Actinomarinaceae,g__Candidatus_Actinomarina,s__Candidatus_Actinomarina_minuta
o__Candidatus_Nanopelagicales,c__Actinobacteria,rank_3,o__Candidatus_Nanopelagicales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Candidatus_Nanopelagicales,,,
f__Candidatus_Nanopelagicaceae,o__Candidatus_Nanopelagicales,rank_4,f__Candidatus_Nanopelagicaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Candidatus_Nanopelagicales,f__Candidatus_Nanopelagicaceae,,
g__Candidatus_Planktophila,f__Candidatus_Nanopelagicaceae,rank_5,g__Candidatus_Planktophila,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Candidatus_Nanopelagicales,f__Candidatus_Nanopelagicaceae,g__Candidatus_Planktophila,
s__Candidatus_Planktophila_lacus,g__Candidatus_Planktophila,rank_6,s__Candidatus_Planktophila_lacus,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Candidatus_Nanopelagicales,f__Candidatus_Nanopelagicaceae,g__Candidatus_Planktophila,s__Candidatus_Planktophila_lacus
o__Corynebacteriales,c__Actinobacteria,rank_3,o__Corynebacteriales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,,,
f__Corynebacteriaceae,o__Corynebacteriales,rank_4,f__Corynebacteriaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,,
g__Corynebacterium,f__Corynebacteriaceae,rank_5,g__Corynebacterium,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,
s__Corynebacterium_falsenii,g__Corynebacterium,rank_6,s__Corynebacterium_falsenii,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium_falsenii
f__Dietziaceae,o__Corynebacteriales,rank_4,f__Dietziaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Dietziaceae,,
g__Dietzia,f__Dietziaceae,rank_5,g__Dietzia,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Dietziaceae,g__Dietzia,
s__Dietzia_alimentaria,g__Dietzia,rank_6,s__Dietzia_alimentaria,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Dietziaceae,g__Dietzia,s__Dietzia_alimentaria
f__Gordoniaceae,o__Corynebacteriales,rank_4,f__Gordoniaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Gordoniaceae,,
g__Gordonia,f__Gordoniaceae,rank_5,g__Gordonia,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Gordoniaceae,g__Gordonia,
s__Gordonia_brandegeei,g__Gordonia,rank_6,s__Gordonia_brandegeei,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Gordoniaceae,g__Gordonia,s__Gordonia_brandegeei
f__Mycobacteriaceae,o__Corynebacteriales,rank_4,f__Mycobacteriaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,,
g__Mycobacterium,f__Mycobacteriaceae,rank_5,g__Mycobacterium,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,
s__Mycobacterium_tuberculosis,g__Mycobacterium,rank_6,s__Mycobacterium_tuberculosis,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium_tuberculosis
g__Mycolicibacterium,f__Mycobacteriaceae,rank_5,g__Mycolicibacterium,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycolicibacterium,
s__Mycolicibacterium_rhodesiae,g__Mycolicibacterium,rank_6,s__Mycolicibacterium_rhodesiae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycolicibacterium,s__Mycolicibacterium_rhodesiae
f__Nocardiaceae,o__Corynebacteriales,rank_4,f__Nocardiaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,,
g__Nocardia,f__Nocardiaceae,rank_5,g__Nocardia,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Nocardia,
f__Segniliparaceae,o__Corynebacteriales,rank_4,f__Segniliparaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Segniliparaceae,,
g__Segniliparus,f__Segniliparaceae,rank_5,g__Segniliparus,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Segniliparaceae,g__Segniliparus,
s__Segniliparus_rugosus,g__Segniliparus,rank_6,s__Segniliparus_rugosus,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Segniliparaceae,g__Segniliparus,s__Segniliparus_rugosus
o__Frankiales,c__Actinobacteria,rank_3,o__Frankiales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,,,
f__Frankiaceae,o__Frankiales,rank_4,f__Frankiaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__Frankiaceae,,
g__Frankia,f__Frankiaceae,rank_5,g__Frankia,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__Frankiaceae,g__Frankia,
g__Jatrophihabitans,f__Frankiaceae,rank_5,g__Jatrophihabitans,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__Frankiaceae,g__Jatrophihabitans,
s__Jatrophihabitans_endophyticus,g__Jatrophihabitans,rank_6,s__Jatrophihabitans_endophyticus,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__Frankiaceae,g__Jatrophihabitans,s__Jatrophihabitans_endophyticus
o__Geodermatophilales,c__Actinobacteria,rank_3,o__Geodermatophilales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Geodermatophilales,,,
f__Geodermatophilaceae,o__Geodermatophilales,rank_4,f__Geodermatophilaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Geodermatophilales,f__Geodermatophilaceae,,
g__Blastococcus,f__Geodermatophilaceae,rank_5,g__Blastococcus,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Geodermatophilales,f__Geodermatophilaceae,g__Blastococcus,
s__Blastococcus_sp._DSM_46786,g__Blastococcus,rank_6,s__Blastococcus_sp._DSM_46786,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Geodermatophilales,f__Geodermatophilaceae,g__Blastococcus,s__Blastococcus_sp._DSM_46786
s__Blastococcus_sp._Marseille-P5729,g__Blastococcus,rank_6,s__Blastococcus_sp._Marseille-P5729,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Geodermatophilales,f__Geodermatophilaceae,g__Blastococcus,s__Blastococcus_sp._Marseille-P5729
