tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7
f__Chloroflexaceae,o__Chloroflexales,rank_5,f__Chloroflexaceae,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Chloroflexaceae,,
g__Chloroflexus,f__Chloroflexaceae,rank_6,g__Chloroflexus,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Chloroflexaceae,g__Chloroflexus,
s__Chloroflexus_aurantiacus,g__Chloroflexus,rank_7,s__Chloroflexus_aurantiacus,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Chloroflexaceae,g__Chloroflexus,s__Chloroflexus_aurantiacus
f__Oscillochloridaceae,o__Chloroflexales,rank_5,f__Oscillochloridaceae,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Oscillochloridaceae,,
g__Oscillochloris,f__Oscillochloridaceae,rank_6,g__Oscillochloris,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Oscillochloridaceae,g__Oscillochloris,
s__Oscillochloris_trichoides,g__Oscillochloris,rank_7,s__Oscillochloris_trichoides,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Oscillochloridaceae,g__Oscillochloris,s__Oscillochloris_trichoides
f__Roseiflexaceae,o__Chloroflexales,rank_5,f__Roseiflexaceae,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,,
g__Roseiflexus,f__Roseiflexaceae,rank_6,g__Roseiflexus,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,g__Roseiflexus,
s__Roseiflexus_castenholzii,g__Roseiflexus,rank_7,s__Roseiflexus_castenholzii,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,g__Roseiflexus,s__Roseiflexus_castenholzii
o__Herpetosiphonales,c__Chloroflexia,rank_4,o__Herpetosiphonales,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Herpetosiphonales,,,
f__Herpetosiphonaceae,o__Herpetosiphonales,rank_5,f__Herpetosiphonaceae,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Herpetosiphonales,f__Herpetosiphonaceae,,
g__Herpetosiphon,f__Herpetosiphonaceae,rank_6,g__Herpetosiphon,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Herpetosiphonales,f__Herpetosiphonaceae,g__Herpetosiphon,
s__Herpetosiphon_aurantiacus,g__Herpetosiphon,rank_7,s__Herpetosiphon_aurantiacus,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Herpetosiphonales,f__Herpetosiphonaceae,g__Herpetosiphon,s__Herpetosiphon_aurantiacus
c__Dehalococcoidia,p__Chloroflexi,rank_3,c__Dehalococcoidia,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Dehalococcoidia,,,,
o__Dehalococcoidales,c__Dehalococcoidia,rank_4,o__Dehalococcoidales,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Dehalococcoidia,o__Dehalococcoidales,,,
f__Dehalococcoidaceae,o__Dehalococcoidales,rank_5,f__Dehalococcoidaceae,Root,r__Root,d__Bacteria,p__Chloroflexi,c__Dehalococcoidia,o__Dehalococcoidales,f__Dehalococcoidaceae,,
